Time Period,B_State,Charge_R,Discharge_R,Grid_I,Grid_E
201,4911.36550401736,5169.85842528143,0.0,13182.3554022814,0.0
202,28238.8255300311,24555.2314197313,0.0,33717.0180057313,0.0
203,51566.2389011248,24555.2314197313,0.0,31813.9549937313,0.0
204,74893.6056173917,24555.2314197313,0.0,32201.1015587313,0.0
205,98220.9256789252,24555.2314197313,0.0,33748.4461487313,0.0
206,98220.9256789252,0.206780896160605,0.0,8532.46230789616,0.0
207,98220.9256789252,0.206780896160605,0.0,7931.89108689616,0.0
208,89118.277182337,0.0,8647.329452,0.0,0.0
209,76757.4830194668,0.0,11742.58513,0.0,0.0
210,55457.6415662243,0.0,20234.7035413627,0.0,7859.40701136266
211,29609.9186301714,0.0,24555.2314197313,0.0,12348.8350597313
212,18505.9661998078,0.0,10548.69855,0.0,0.0
213,8273.93771419122,0.0,9720.3919,0.0,0.0
214,0.0,0.0,7860.225108,0.0,0.0
215,0.0,0.0,0.0,7745.219088,0.0
216,0.0,0.0,0.0,7392.298792,0.0
217,0.0,0.0,0.0,4536.325872,0.0
218,0.0,0.0,0.0,4685.238261,0.0
219,13795.245547508,14521.31110264,0.0,22937.82098764,0.0
220,13795.2179570169,0.0,0.0,9686.393923,0.0
221,6252.09898552837,0.0,7165.936812,0.0,0.0
222,2753.2967781725,0.0,3323.850218,0.0,0.0
223,0.0,0.0,2615.626708,0.0,0.0
224,0.0,0.0,0.0,5106.143609,0.0
225,4911.36550401736,5169.85842528143,0.0,12722.9689792814,0.0
226,28238.8255300311,24555.2314197313,0.0,32720.3858737313,0.0
227,51566.2389011248,24555.2314197313,0.0,36469.2767997313,0.0
228,74893.6056173917,24555.2314197313,0.0,39606.7178497313,0.0
229,98220.9256789252,24555.2314197313,0.0,40445.3487997313,0.0
230,98220.9256789252,0.206780896160605,0.0,14678.6172808962,0.0
231,98220.9256789252,0.206780896160605,0.0,15400.0506808962,0.0
232,83976.8946686528,0.0,13531.64284,0.0,0.0
233,68275.4887885476,0.0,14916.17603,0.0,0.0
234,53980.3497323069,0.0,13580.25238,0.0,0.0
235,32255.8796634112,0.0,20638.1440027865,0.0,10424.5475227865
236,23205.9207116518,0.0,8597.399718,0.0,0.0
237,12492.0104682315,0.0,10178.17064,0.0,0.0
238,0.0,0.0,11867.38621,0.0,0.0
239,0.0,0.0,0.0,10934.48535,0.0
240,0.0,0.0,0.0,12586.77045,0.0
241,0.0,0.0,0.0,13835.38081,0.0
242,0.0,0.0,0.0,13290.11023,0.0
243,18629.0642656952,19609.5413323108,0.0,32571.4437623108,0.0
244,18629.0270075667,0.0,0.0,11074.05255,0.0
245,10036.4671189864,0.0,8162.896499,0.0,0.0
246,5424.07869763108,0.0,4381.749931,0.0,0.0
247,0.0,0.0,5152.864457,0.0,0.0
248,0.0,0.0,0.0,4843.744673,0.0
249,4911.36550401736,5169.85842528143,0.0,11026.0632832814,0.0
250,28238.8255300311,24555.2314197313,0.0,33388.5856467313,0.0
251,51566.2389011248,24555.2314197313,0.0,33632.6730337313,0.0
252,74893.6056173917,24555.2314197313,0.0,36771.5361297313,0.0
253,98220.9256789252,24555.2314197313,0.0,35958.3232897313,0.0
254,98220.9256789252,0.206780896160605,0.0,12489.9574008962,0.0
255,98220.9256789252,0.206780896160605,0.0,13221.3948908962,0.0
256,83715.9571142743,0.0,13779.5335166596,1837.81921334041,0.0
257,67637.7213770969,0.0,15274.16489,0.0,0.0
258,49903.1576490226,0.0,16847.70703,0.0,0.0
259,33675.3293374441,0.0,15416.34208,0.0,0.0
260,17982.8663973118,0.0,14907.77581,0.0,0.0
261,0.0,0.0,17083.68891,0.0,0.0
262,0.0,0.0,0.0,14465.55591,0.0
263,0.0,0.0,0.0,12226.26107,0.0
264,0.0,0.0,0.0,10529.02104,0.0
265,0.0,0.0,0.0,8948.903405,0.0
266,6466.79778888262,6807.15556724486,0.0,14614.0148062449,0.0
267,29794.2547040318,24555.2314197313,0.0,32226.3049307313,0.0
268,29794.1951155224,0.0,0.0,7173.101018,0.0
269,19097.4757587111,0.0,10161.82678,0.0,0.0
270,9905.03767744378,0.0,8732.779892,0.0,0.0
271,0.0,0.0,9409.766974,0.0,0.0
272,0.0,0.0,0.0,9167.331366,0.0
273,4911.36550401736,5169.85842528143,0.0,13555.2005842814,0.0
274,28238.8255300311,24555.2314197313,0.0,35456.5594497313,0.0
275,51566.2389011248,24555.2314197313,0.0,35080.9035697313,0.0
276,74893.6056173917,24555.2314197313,0.0,33728.1402037313,0.0
277,98220.9256789252,24555.2314197313,0.0,34181.4898037313,0.0
278,98220.9256789252,0.206780896160605,0.0,11164.2942708962,0.0
279,98220.9256789252,0.206780896160605,0.0,13604.3395808962,0.0
280,85767.7229739159,0.0,11830.35595,0.0,0.0
281,76347.3998447858,0.0,8949.144014,0.0,0.0
282,52525.4274322139,0.0,22630.7287318836,0.0,15863.5566138836
283,26677.7103605893,0.0,24555.2314197313,0.0,16649.9974627313
284,19036.8806999054,0.0,7258.73749,0.0,0.0
285,10599.914094565,0.0,8015.082105,0.0,0.0
286,0.0,0.0,10069.89825,0.0,0.0
287,0.0,0.0,0.0,10960.6825,0.0
288,0.0,0.0,0.0,7314.358859,0.0
289,0.0,0.0,0.0,6835.535605,0.0
290,0.0,0.0,0.0,5214.520175,0.0
291,18096.3823454785,19048.8235215563,0.0,25536.9088195563,0.0
292,18096.3461527138,0.0,0.0,6682.37154,0.0
293,10358.5008621267,0.0,7350.918643,0.0,0.0
294,5085.72040301975,0.0,5009.121755,0.0,0.0
295,0.0,0.0,4831.42472,0.0,0.0
296,0.0,0.0,0.0,5297.517039,0.0
297,4911.36550401736,5169.85842528143,0.0,11797.2652502814,0.0
298,28238.8255300311,24555.2314197313,0.0,30159.1557017313,0.0
299,51566.2389011248,24555.2314197313,0.0,30910.1911627313,0.0
300,74893.6056173917,24555.2314197313,0.0,31463.0579527313,0.0
301,98220.9256789252,24555.2314197313,0.0,33718.7530557313,0.0
302,98220.9256789252,0.206780896160605,0.0,7606.77096689616,0.0
303,98220.7292370738,0.0,0.0,7226.836425,0.0
304,95708.6324029838,0.0,2386.305373,0.0,0.0
305,91520.0313520348,0.0,3978.989152,0.0,0.0
306,65672.2362912023,0.0,24555.2314197313,0.0,20227.0116217313
307,39824.4929259599,0.0,24555.2314197313,0.0,18121.2458957313
308,31101.7777138162,0.0,8286.503785,0.0,0.0
309,24385.1336534187,0.0,6380.752764,0.0,0.0
310,16532.0979010461,0.0,7460.337633,0.0,0.0
311,8097.34118948188,0.0,8012.987465,0.0,0.0
312,0.0,0.0,7692.45874505953,352.898902940475,0.0
313,2.27374130191492e-13,0.0,0.0,7756.08103,0.0
314,1863.19473674408,1961.25761762534,0.0,9151.06819062534,0.0
315,25190.6608590993,24555.2314197313,0.0,31913.8223627313,0.0
316,25190.6104777776,0.0,0.0,7563.890304,0.0
317,17381.1056744514,0.0,7418.981701,0.0,0.0
318,8380.85686908216,0.0,8550.203341,0.0,0.0
319,0.0,0.0,7961.798102,0.0,0.0
320,0.0,0.0,0.0,9372.824112,0.0
321,4911.36550401736,5169.85842528143,0.0,13777.5782712814,0.0
322,28238.8255300311,24555.2314197313,0.0,34500.4371817313,0.0
323,51566.2389011248,24555.2314197313,0.0,37313.7524697313,0.0
324,74893.6056173917,24555.2314197313,0.0,38378.3740597313,0.0
325,98220.9256789252,24555.2314197313,0.0,34722.2910797313,0.0
326,98220.9256789252,0.206780896160605,0.0,9956.82128989616,0.0
327,98220.9256789252,0.206780896160605,0.0,9408.20064789616,0.0
328,88721.337882337,0.0,9024.421787,0.0,0.0
329,77802.5132817665,0.0,10372.7148,0.0,0.0
330,53386.1627054945,0.0,23195.3852226831,0.0,13268.7223096831
331,27538.4439123993,0.0,24555.2314197313,0.0,16984.0426017313
332,18637.7631628799,0.0,8455.594389,0.0,0.0
333,9887.36101051149,0.0,8312.846633,0.0,0.0
334,0.0,0.0,9392.974174,0.0,0.0
335,0.0,0.0,0.0,10917.3848,0.0
336,0.0,0.0,0.0,7559.465256,0.0
337,0.0,0.0,0.0,6998.051613,0.0
338,0.0,0.0,0.0,5926.385905,0.0
339,2257.04200079055,2375.83368504269,0.0,5829.88065004269,0.0
340,2257.03748670655,0.0,0.0,3050.803912,0.0
341,0.0,0.0,2144.181324,0.0,0.0
342,0.0,0.0,0.0,0.0,0.0
343,0.0,0.0,0.0,0.0,0.0
344,0.0,0.0,0.0,0.0,0.0
345,4911.36550401736,5169.85842528143,0.0,5169.85842528143,0.0
346,28238.8255300311,24555.2314197313,0.0,24864.5230221313,0.0
347,51566.2389011248,24555.2314197313,0.0,26860.2405287313,0.0
348,74893.6056173917,24555.2314197313,0.0,29228.0918267313,0.0
349,98220.9256789252,24555.2314197313,0.0,30582.2803787313,0.0
350,98220.9256789252,0.206780896160605,0.0,6911.75399189616,0.0
351,98220.7292370738,0.0,0.0,4830.025083,0.0
352,93660.1414135101,0.0,4332.371813,0.0,0.0
353,87417.1727374378,0.0,5930.642288,0.0,0.0
354,61569.3858823226,0.0,24555.2314197313,0.0,22819.4102467313
355,35721.650722781,0.0,24555.2314197313,0.0,19557.2440197313
356,29308.3214363217,0.0,6092.594951,0.0,0.0
357,21617.866813363,0.0,7305.876206,0.0,0.0
358,13890.5190039452,0.0,7340.939345,0.0,0.0
359,10513.1200681703,0.0,3208.502597,0.0,0.0
360,8077.9509187723,0.0,2313.390717,0.0,0.0
361,8077.93476287047,0.0,0.0,0.0,0.0
362,8077.91860700094,0.0,0.0,1118.780192,0.0
363,8756.24378875218,714.043513250999,0.0,3176.924731251,0.0
364,8756.2262762646,0.0,0.0,1404.759482,0.0
365,8459.99338781205,0.0,281.4046072,0.0,0.0
366,4631.80737308843,0.0,3636.76064,0.0,0.0
367,0.0,0.0,4400.208204,0.0,0.0
368,0.0,0.0,0.0,4809.879125,0.0
369,4911.36550401736,5169.85842528143,0.0,12150.7840442814,0.0
370,28238.8255300311,24555.2314197313,0.0,32756.7450377313,0.0
371,51566.2389011248,24555.2314197313,0.0,37204.0578597313,0.0
372,74893.6056173917,24555.2314197313,0.0,34299.3742317313,0.0
373,98220.9256789252,24555.2314197313,0.0,33299.5123437313,0.0
374,98220.9256789252,0.206780896160605,0.0,4003.92272489616,0.0
375,98220.7292370738,0.0,0.0,5652.872526,0.0
376,91761.8922314048,0.0,6135.708536,0.0,0.0
377,87044.5600360414,0.0,4481.291238,0.0,0.0
378,61196.7739261516,0.0,24555.2314197313,0.0,20005.6372187313
379,35349.039511834,0.0,24555.2314197313,0.0,18322.8346457313
380,25130.9069895444,0.0,9707.158733,0.0,0.0
381,14471.2719698357,0.0,10126.60552,0.0,0.0
382,4609.37275044965,0.0,9368.776763,0.0,0.0
383,0.0,0.0,4378.89535511894,3496.57414288106,0.0
384,0.0,0.0,0.0,7870.887035,0.0
385,0.0,0.0,0.0,6650.704024,0.0
386,8278.13938175308,8713.83092816114,0.0,14205.3554031611,0.0
387,31605.5926742191,24555.2314197313,0.0,30746.6081877313,0.0
388,31605.5294630337,0.0,0.0,7518.970445,0.0
389,22793.10561408,0.0,8371.742606,0.0,0.0
390,12629.7238805004,0.0,9655.16934,0.0,0.0
391,0.0,0.0,11998.21369,0.0,0.0
392,0.0,0.0,0.0,10582.44166,0.0
393,4911.36550401736,5169.85842528143,0.0,14988.6226182814,0.0
394,28238.8255300311,24555.2314197313,0.0,37193.8989097313,0.0
395,51566.2389011248,24555.2314197313,0.0,37601.2350397313,0.0
396,74893.6056173917,24555.2314197313,0.0,37577.7705097313,0.0
397,98220.9256789252,24555.2314197313,0.0,39624.1239697313,0.0
398,98220.9256789252,0.206780896160605,0.0,14233.9671308962,0.0
399,98220.7292370738,0.0,0.0,11870.32503,0.0
400,89540.0667650891,0.0,8246.442729,0.0,0.0
401,79016.6257639029,0.0,9997.098825,0.0,0.0
402,53168.8557098816,0.0,24555.2314197313,0.0,16402.4529327313
403,27321.1373514004,0.0,24555.2314197313,0.0,18629.9680867313
404,21883.789788073,0.0,5165.428275,0.0,0.0
405,16241.7772836514,0.0,5359.8703,0.0,0.0
406,7195.83883483364,0.0,8593.610667,0.0,0.0
407,0.0,0.0,6836.03322099817,629.354467001828,0.0
408,0.0,0.0,0.0,2535.687054,0.0
409,0.0,0.0,0.0,3476.294368,0.0
410,0.0,0.0,0.0,917.8393759,0.0
411,7687.70596257772,8092.32206587128,0.0,9306.24216287128,0.0
412,7687.69058716579,0.0,0.0,1013.584795,0.0
413,7027.2478644162,0.0,627.40598,0.0,0.0
414,2712.85497202573,0.0,4098.659896,0.0,0.0
415,0.0,0.0,2577.207069,0.0,0.0
416,0.0,0.0,0.0,5749.204072,0.0
